slide_id,class_branch,type,rank,score,coord_x,coord_y
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUAD,TOP,1,0.23494476079940796,37888,25088
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUAD,BOTTOM,1,-0.9073381423950195,8192,15360
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUAD,TOP,2,0.2196885049343109,35840,32256
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUAD,BOTTOM,2,-0.8816127181053162,11264,13824
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUAD,TOP,3,0.20388321578502655,6144,11776
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUAD,BOTTOM,3,-0.8774720430374146,6656,15872
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUSC,TOP,1,-0.10653658956289291,30720,40960
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUSC,BOTTOM,1,-0.3816823363304138,33280,43008
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUSC,TOP,2,-0.10852768272161484,19968,10240
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUSC,BOTTOM,2,-0.372467041015625,11776,10752
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUSC,TOP,3,-0.1088581457734108,26112,18944
TCGA-55-6642-01Z-00-DX1.0487cfc6-8216-4da3-aae1-a35452e9e4f6,LUSC,BOTTOM,3,-0.3700362741947174,11264,15872
TCGA-55-8299-01Z-00-DX1.6F652EC5-EBB8-499C-A66D-E0951FBFCAA2,LUAD,TOP,1,0.1671992838382721,2560,19456
